,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
215,2257,200,299.0,1466.0,42.0,True
216,2258,200,135.0,649.0,32.0,True
217,2259,200,1172.0,5538.0,69.0,True
218,2260,200,246.0,1015.0,90.0,True
219,2261,200,606.0,3078.0,121.0,True
220,2262,200,247.0,1141.0,52.0,True
221,2263,200,280.0,1187.0,53.0,True
222,2264,200,384.0,1586.0,21.0,True
223,2265,200,214.0,,,False
224,2267,200,76.0,433.0,33.0,True
225,2278,200,109.0,550.0,36.0,True
226,2280,200,455.0,2170.0,28.0,True
227,2281,200,289.0,1247.0,25.0,True
228,2282,200,225.0,947.0,37.0,True
229,2283,200,496.0,2354.0,46.0,True
230,2284,200,175.0,929.0,48.0,True
231,2285,200,529.0,2715.0,300.0,True
232,2286,200,119.0,631.0,83.0,True
233,2287,200,549.0,2517.0,43.0,True
234,2289,200,221.0,964.0,31.0,True
235,2290,200,465.0,2217.0,32.0,True
236,2291,200,132.0,659.0,43.0,True
237,2292,200,21.0,68.0,13.0,True
238,2293,200,20.0,69.0,10.0,True
239,2294,200,17.0,72.0,15.0,True
240,2295,200,119.0,572.0,35.0,True
241,2296,200,18.0,141.0,38.0,True
242,2297,200,8.0,35.0,9.0,True
243,2298,200,83.0,422.0,42.0,True
244,2299,200,108.0,504.0,41.0,True
245,2300,200,75.0,304.0,31.0,True
246,2302,200,2.0,3.0,2.0,True
247,2303,200,58.0,219.0,11.0,True
248,2304,200,141.0,651.0,61.0,True
249,2305,200,108.0,586.0,31.0,True
250,2306,200,15.0,71.0,14.0,True
251,2307,200,71.0,354.0,21.0,True
252,2308,200,,,,False
253,2309,404,,,,
254,2310,404,,,,
255,2311,200,162.0,693.0,25.0,True
256,2312,200,134.0,657.0,26.0,True
257,2314,200,1.0,1.0,1.0,True
258,2315,200,276.0,1112.0,41.0,True
259,2316,200,168.0,773.0,26.0,True
260,2317,200,106.0,519.0,22.0,True
261,2318,200,447.0,2377.0,167.0,True
262,2319,200,191.0,,,False
263,2320,200,1140.0,5250.0,129.0,True
264,2321,200,791.0,3438.0,30.0,True
265,2322,200,525.0,2502.0,28.0,True
266,2323,200,619.0,2941.0,61.0,True
267,2324,200,784.0,3459.0,109.0,True
268,2325,200,1449.0,7388.0,60.0,True
269,2326,200,317.0,1488.0,50.0,True
270,2327,200,215.0,977.0,31.0,True
271,2328,200,254.0,1235.0,40.0,True
272,2329,200,367.0,1756.0,43.0,True
273,2330,200,1492.0,7362.0,147.0,True
274,2331,404,,,,
275,2333,200,898.0,4357.0,38.0,True
276,2334,200,175.0,882.0,41.0,True
277,2335,200,528.0,2365.0,30.0,True
278,2336,200,279.0,1312.0,27.0,True
279,2337,200,851.0,4127.0,66.0,True
280,2338,200,206.0,992.0,27.0,True
281,2339,200,161.0,705.0,35.0,True
282,2340,200,3030.0,15172.0,130.0,True
283,2341,200,108.0,541.0,24.0,True
284,2342,200,81.0,407.0,29.0,True
285,2343,200,615.0,2981.0,38.0,True
286,2344,200,131.0,677.0,65.0,True
287,2345,200,134.0,576.0,28.0,True
288,2346,200,403.0,2080.0,124.0,True
289,2347,200,327.0,1480.0,26.0,True
290,2348,404,,,,
291,2350,200,1518.0,7440.0,83.0,True
292,2351,404,,,,
293,2352,200,338.0,1725.0,46.0,True
294,2353,200,160.0,1172.0,311.0,True
295,2354,200,717.0,3563.0,74.0,True
296,2355,200,151.0,697.0,23.0,True
297,2356,200,22.0,105.0,19.0,True
298,2357,200,544.0,2700.0,93.0,True
299,2358,200,494.0,2614.0,73.0,True
300,2359,200,174.0,740.0,19.0,True
301,2360,200,1479.0,7300.0,62.0,True
302,2361,200,183.0,955.0,31.0,True
303,2365,200,581.0,3394.0,84.0,True
304,2369,200,131.0,617.0,23.0,True
305,2370,200,853.0,4304.0,70.0,True
306,2371,200,226.0,1063.0,32.0,True
307,2372,200,699.0,3402.0,30.0,True
308,2379,200,91.0,407.0,17.0,True
309,2380,200,944.0,4545.0,66.0,True
310,2381,200,220.0,951.0,33.0,True
311,2382,200,197.0,978.0,33.0,True
312,2386,200,90.0,431.0,22.0,True
313,2387,200,53.0,265.0,22.0,True
314,2388,200,377.0,1897.0,37.0,True
315,2390,200,925.0,4557.0,47.0,True
316,2395,200,144.0,595.0,27.0,True
317,2396,200,133.0,607.0,,False
318,2397,200,101.0,573.0,20.0,True
319,2398,200,51.0,291.0,39.0,True
320,2399,200,93.0,489.0,19.0,True
